iter	RMSE
0	737.1345744
1	666.2885488
2	605.9959752
3	554.9499589
4	512.5293885
5	476.7446221
6	446.7300072
7	421.9793201
8	400.8975749
9	383.2971399
10	369.2325782
11	356.9946606
12	347.6830768
13	340.1797965
14	333.3430533
15	328.4326603
16	324.2890678
17	320.2927022
18	317.4484521
19	315.1521691
20	313.2512204
21	311.126935
22	309.3325752
23	307.768856
24	306.3703694
25	305.3922196
26	304.5516572
27	303.624172
28	302.8374847
29	302.0954794
30	300.7962651
31	300.3559696
32	299.4956893
33	298.8906289
34	298.027434
35	297.6933924
36	297.3299312
37	296.6645243
38	295.9733905
39	295.5111741
40	294.8807104
41	294.5494478
42	294.2424214
43	293.7080131
44	293.3404878
45	292.9804435
46	292.631182
47	292.2583383
48	292.144303
49	291.7706964
50	291.5026798
51	291.1103558
52	290.8097241
53	290.5033476
54	290.2779224
55	290.054923
56	289.7657993
57	289.568668
58	289.3202248
59	289.0788694
60	288.8304067
61	288.6861306
62	288.5950227
63	288.5345277
64	288.1804064
65	288.0035527
66	287.6022172
67	287.5268293
68	287.2378145
69	287.1783317
70	286.9859896
71	286.8808836
72	286.6348041
73	286.4506725
74	286.3950433
75	286.2343877
76	286.1045283
77	286.0414098
78	286.0048519
79	285.9390115
80	285.7982508
81	285.6763398
82	285.217966
83	284.8717225
84	284.5861693
85	284.4822734
86	284.2428995
87	284.1576067
88	284.0086587
89	283.9478729
90	283.8336503
91	283.6981575
92	283.6848213
93	283.5288742
94	283.3296502
95	283.1267
96	282.8951592
97	282.8083608
98	282.7678756
99	282.6669609
100	282.5697313
101	282.5005077
102	282.1517623
103	282.1037557
104	281.9269134
105	281.6764426
106	281.4072254
107	281.2584247
108	281.2265568
109	281.1589894
110	280.8850646
111	280.835226
112	280.8031154
113	280.6353252
114	280.5394452
115	280.2975085
116	280.0326462
117	279.9519287
118	279.7933503
119	279.4188544
120	279.3070677
121	279.2943059
122	279.2313655
123	279.1119868
124	279.0763783
125	278.6985414
126	278.5229592
127	278.299801
128	278.2236338
129	278.1297538
130	278.0829087
131	277.978738
132	277.6898804
133	277.6681431
134	277.6217339
135	277.5799984
136	277.5351869
137	277.4425543
138	277.3842028
139	277.2212684
140	277.1919247
141	277.1146933
142	277.105285
143	276.9956858
144	276.8714967
145	276.837603
146	276.7337764
147	276.5965836
148	276.5200286
149	276.375687
150	276.3578071
151	276.1899016
152	276.103858
153	276.0489533
154	275.8610547
155	275.7537187
156	275.6793056
157	275.6384558
158	275.4682548
159	275.4497979
160	275.37382
161	275.3637631
162	275.2692648
163	275.2243303
164	275.2047063
165	275.0302936
166	275.0215023
167	274.8650367
168	274.7757231
169	274.7686128
170	274.7401015
171	274.3192012
172	274.286751
173	274.2116267
174	274.0829721
175	274.0558691
176	273.8886796
177	273.8090858
178	273.7842265
179	273.4168845
180	273.3414575
181	273.3013488
182	273.2968726
183	273.2756026
184	273.081952
185	272.9872424
186	272.9816729
187	272.8493515
188	272.7772409
189	272.7165778
190	272.5741389
191	272.5626375
192	272.5499698
193	272.3118342
194	272.1812096
195	272.1744087
196	272.1592196
197	271.9652529
198	271.9192893
199	271.8509414
200	271.6557119
201	271.6052455
202	271.4915143
203	271.4853281
204	271.4380586
205	271.3453891
206	271.3292255
207	271.2299628
208	271.1090055
209	271.0295593
210	270.9042436
211	270.817549
212	270.8129662
213	270.5902109
214	270.556834
215	270.4187398
216	270.3584363
217	270.3332121
218	270.3131857
219	270.2952699
220	270.2342705
221	270.2258949
222	270.2206365
223	270.1983635
224	270.0903235
225	269.9192344
226	269.7484037
227	269.6741684
228	269.6323185
229	269.5420674
