iter	Passed	Remaining
0	215	214832
1	276	138184
2	325	108148
3	368	91657
4	408	81293
5	451	74840
6	494	70194
7	536	66546
8	578	63644
9	619	61302
10	664	59767
11	704	58027
12	749	56914
13	791	55760
14	835	54889
15	883	54354
16	926	53585
17	970	52931
18	1016	52472
19	1061	52037
20	1108	51674
21	1150	51130
22	1192	50676
23	1237	50330
24	1283	50057
25	1328	49784
26	1373	49483
27	1417	49206
28	1466	49096
29	1508	48764
30	1548	48390
31	1592	48186
32	1637	47987
33	1683	47843
34	1729	47672
35	1771	47427
36	1818	47326
37	1860	47090
38	1903	46895
39	1948	46759
40	1989	46538
41	2035	46436
42	2083	46370
43	2129	46261
44	2173	46122
45	2217	45995
46	2258	45804
47	2300	45632
48	2345	45530
49	2391	45430
50	2435	45314
51	2479	45200
52	2521	45049
53	2562	44891
54	2606	44782
55	2651	44696
56	2694	44574
57	2735	44420
58	2777	44303
59	2822	44222
60	2871	44202
61	2913	44076
62	2960	44026
63	3007	43982
64	3053	43918
65	3102	43899
66	3149	43859
67	3194	43779
68	3239	43712
69	3285	43655
70	3331	43590
71	3378	43542
72	3424	43491
73	3468	43408
74	3511	43304
75	3558	43268
76	3607	43237
77	3657	43231
78	3705	43194
79	3751	43146
80	3798	43092
81	3844	43035
82	3891	42996
83	3938	42945
84	3988	42930
85	4032	42861
86	4079	42811
87	4124	42748
88	4170	42691
89	4215	42621
90	4261	42569
91	4305	42489
92	4355	42476
93	4397	42383
94	4443	42327
95	4489	42275
96	4533	42203
97	4576	42119
98	4620	42050
99	4664	41977
100	4706	41893
101	4755	41869
102	4804	41840
103	4849	41783
104	4892	41704
105	4940	41667
106	4985	41609
107	5030	41551
108	5075	41484
109	5119	41422
110	5164	41364
111	5209	41302
112	5253	41237
113	5301	41200
114	5344	41125
115	5390	41079
116	5436	41032
117	5481	40975
118	5527	40919
119	5573	40870
120	5619	40820
121	5662	40751
122	5705	40680
123	5752	40640
124	5798	40591
125	5847	40561
126	5894	40515
127	5937	40451
128	5978	40365
129	6022	40302
130	6070	40265
131	6123	40263
132	6171	40232
133	6214	40159
134	6254	40077
135	6296	40002
136	6344	39967
137	6395	39949
138	6443	39914
139	6488	39859
140	6531	39788
141	6580	39758
142	6625	39705
143	6669	39648
144	6717	39611
145	6759	39537
146	6801	39467
147	6849	39429
148	6895	39381
149	6943	39344
150	6984	39271
151	7031	39229
152	7080	39194
153	7125	39145
154	7173	39105
155	7220	39063
156	7272	39050
157	7317	38995
158	7364	38954
159	7411	38908
160	7455	38854
161	7505	38824
162	7553	38788
163	7598	38733
164	7642	38678
165	7691	38643
166	7741	38616
167	7793	38595
168	7840	38554
169	7885	38498
170	7927	38429
171	7976	38399
172	8023	38355
173	8072	38321
174	8116	38262
175	8162	38214
176	8211	38179
177	8259	38144
178	8303	38085
179	8353	38056
180	8398	38001
181	8443	37947
182	8494	37923
183	8542	37882
184	8588	37837
185	8634	37786
186	8676	37723
187	8719	37661
188	8767	37619
189	8811	37564
190	8859	37525
191	8905	37478
192	8952	37431
193	8998	37387
194	9045	37342
195	9092	37297
